2022-12-19 16:02:53,642 INFO    StreamThr :7216 [internal.py:wandb_internal():87] W&B internal server running at pid: 7216, started at: 2022-12-19 16:02:53.642243
2022-12-19 16:02:53,657 DEBUG   HandlerThread:7216 [handler.py:handle_request():139] handle_request: status
2022-12-19 16:02:53,657 DEBUG   SenderThread:7216 [sender.py:send_request():317] send_request: status
2022-12-19 16:02:53,657 DEBUG   SenderThread:7216 [sender.py:send():303] send: header
2022-12-19 16:02:53,657 INFO    WriterThread:7216 [datastore.py:open_for_write():75] open: D:\yolov5-6.2\wandb\run-20221219_160253-1ssxbsgz\run-1ssxbsgz.wandb
2022-12-19 16:02:53,673 DEBUG   SenderThread:7216 [sender.py:send():303] send: run
2022-12-19 16:02:53,689 INFO    SenderThread:7216 [sender.py:_maybe_setup_resume():593] checking resume status for None/train/1ssxbsgz
2022-12-19 16:02:55,077 DEBUG   HandlerThread:7216 [handler.py:handle_request():139] handle_request: check_version
2022-12-19 16:02:55,093 INFO    SenderThread:7216 [dir_watcher.py:__init__():216] watching files in: D:\yolov5-6.2\wandb\run-20221219_160253-1ssxbsgz\files
2022-12-19 16:02:55,093 INFO    SenderThread:7216 [sender.py:_start_run_threads():928] run started: 1ssxbsgz with start time 1671436973.657842
2022-12-19 16:02:55,093 DEBUG   SenderThread:7216 [sender.py:send():303] send: summary
2022-12-19 16:02:55,093 INFO    SenderThread:7216 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-19 16:02:55,093 DEBUG   SenderThread:7216 [sender.py:send_request():317] send_request: check_version
2022-12-19 16:02:56,107 INFO    Thread-17 :7216 [dir_watcher.py:_on_file_created():275] file/dir created: D:\yolov5-6.2\wandb\run-20221219_160253-1ssxbsgz\files\wandb-summary.json
2022-12-19 16:02:57,599 DEBUG   HandlerThread:7216 [handler.py:handle_request():139] handle_request: run_start
2022-12-19 16:02:57,614 DEBUG   HandlerThread:7216 [system_info.py:__init__():31] System info init
2022-12-19 16:02:57,614 DEBUG   HandlerThread:7216 [system_info.py:__init__():46] System info init done
2022-12-19 16:02:57,614 INFO    HandlerThread:7216 [system_monitor.py:start():150] Starting system monitor
2022-12-19 16:02:57,614 INFO    SystemMonitor:7216 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-12-19 16:02:57,614 INFO    HandlerThread:7216 [system_monitor.py:probe():171] Collecting system info
2022-12-19 16:02:57,614 DEBUG   HandlerThread:7216 [system_info.py:probe():195] Probing system
2022-12-19 16:02:57,614 INFO    SystemMonitor:7216 [interfaces.py:start():168] Started cpu
2022-12-19 16:02:57,614 INFO    SystemMonitor:7216 [interfaces.py:start():168] Started disk
2022-12-19 16:02:57,630 INFO    SystemMonitor:7216 [interfaces.py:start():168] Started memory
2022-12-19 16:02:57,630 INFO    SystemMonitor:7216 [interfaces.py:start():168] Started network
2022-12-19 16:02:57,630 DEBUG   HandlerThread:7216 [git.py:repo():40] git repository is invalid
2022-12-19 16:02:57,630 DEBUG   HandlerThread:7216 [system_info.py:probe():241] Probing system done
2022-12-19 16:02:57,630 DEBUG   HandlerThread:7216 [system_monitor.py:probe():180] {'os': 'Windows-7-6.1.7601-SP1', 'python': '3.8.8', 'heartbeatAt': '2022-12-19T08:02:57.614642', 'startedAt': '2022-12-19T08:02:53.595443', 'docker': None, 'cuda': None, 'args': ('--data', 'data/tobacco.yaml', '--workers', '0', '--batch-size', '2', '--epochs', '10'), 'state': 'running', 'program': 'D:/yolov5-6.2/train.py', 'codePath': 'train.py', 'host': 'SKY-20211028KIA', 'username': 'Administrator', 'executable': 'C:\\Users\\Administrator\\anaconda3\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 4, 'cpu_freq': {'current': 2496.0, 'min': 0.0, 'max': 3201.0}, 'cpu_freq_per_core': [{'current': 2496.0, 'min': 0.0, 'max': 3201.0}], 'disk': {'total': 345.37792587280273, 'used': 76.83022689819336}, 'memory': {'total': 7.911079406738281}}
2022-12-19 16:02:57,630 INFO    HandlerThread:7216 [system_monitor.py:probe():181] Finished collecting system info
2022-12-19 16:02:57,630 INFO    HandlerThread:7216 [system_monitor.py:probe():184] Publishing system info
2022-12-19 16:02:57,630 DEBUG   HandlerThread:7216 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2022-12-19 16:02:57,630 DEBUG   HandlerThread:7216 [system_info.py:_save_pip():67] Saving pip packages done
2022-12-19 16:02:57,630 DEBUG   HandlerThread:7216 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2022-12-19 16:02:58,129 INFO    Thread-17 :7216 [dir_watcher.py:_on_file_created():275] file/dir created: D:\yolov5-6.2\wandb\run-20221219_160253-1ssxbsgz\files\requirements.txt
2022-12-19 16:02:58,129 INFO    Thread-17 :7216 [dir_watcher.py:_on_file_created():275] file/dir created: D:\yolov5-6.2\wandb\run-20221219_160253-1ssxbsgz\files\conda-environment.yaml
