               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12555,            0.073668,                   0,           0.0039216,           0.0071073,           0.0022328,          0.00046513,             0.12232,             0.11263,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11792,            0.079097,                   0,           0.0077551,            0.081023,           0.0060194,           0.0012999,             0.11501,             0.12872,                   0,            0.091896,          0.00089554,          0.00089554
                   2,             0.10974,             0.08314,                   0,            0.046465,             0.22281,            0.026126,           0.0058366,             0.10688,              0.1295,                   0,            0.087386,           0.0013861,           0.0013861
                   3,            0.099529,            0.079355,                   0,              0.1023,             0.24271,            0.063609,            0.014459,            0.098818,             0.12595,                   0,            0.082872,           0.0018718,           0.0018718
                   4,            0.089511,            0.083292,                   0,             0.18945,             0.25444,             0.11788,            0.026303,            0.096934,             0.20761,                   0,            0.078352,           0.0023525,           0.0023525
                   5,            0.080907,             0.07639,                   0,             0.24593,             0.43355,             0.23782,            0.064296,            0.092546,             0.20942,                   0,            0.073828,           0.0028282,           0.0028282
                   6,            0.074608,            0.070598,                   0,             0.19182,             0.43142,             0.16303,             0.04525,            0.080186,             0.17538,                   0,            0.069299,            0.003299,            0.003299
                   7,            0.071867,            0.074245,                   0,             0.22209,             0.46198,              0.1942,             0.05536,            0.089303,             0.18558,                   0,            0.064765,           0.0037649,           0.0037649
                   8,            0.069223,            0.067856,                   0,             0.19435,             0.43888,             0.15317,            0.042248,            0.082763,             0.15983,                   0,            0.060226,           0.0042258,           0.0042258
                   9,            0.070507,            0.068492,                   0,             0.22217,             0.54324,             0.19986,            0.054153,            0.086815,             0.14377,                   0,            0.055682,           0.0046817,           0.0046817
                  10,            0.068861,            0.069509,                   0,             0.23804,             0.54299,             0.21128,            0.055943,            0.075862,             0.13474,                   0,            0.051133,           0.0051327,           0.0051327
                  11,             0.06862,            0.064117,                   0,             0.31707,             0.53802,             0.32046,             0.11761,            0.074712,             0.12088,                   0,            0.046579,           0.0055787,           0.0055787
                  12,            0.067561,            0.063628,                   0,             0.39849,             0.61763,             0.42796,             0.12987,            0.069701,             0.12318,                   0,             0.04202,           0.0060198,           0.0060198
                  13,            0.066879,             0.06464,                   0,             0.24207,             0.66205,             0.23194,            0.077256,            0.078195,             0.13312,                   0,            0.037456,            0.006456,            0.006456
                  14,            0.067873,            0.063733,                   0,             0.39317,             0.60661,             0.45144,             0.17629,            0.064368,             0.11642,                   0,            0.032887,           0.0068872,           0.0068872
                  15,            0.065087,            0.062247,                   0,             0.33788,             0.61929,             0.36765,             0.13542,            0.074733,             0.12807,                   0,            0.028313,           0.0073134,           0.0073134
                  16,            0.063175,            0.059596,                   0,              0.3491,             0.57036,             0.37804,             0.12863,            0.074182,             0.12394,                   0,            0.023735,           0.0077347,           0.0077347
                  17,            0.063399,            0.060595,                   0,             0.37503,             0.60307,             0.42704,             0.16352,             0.06943,             0.12481,                   0,            0.019151,           0.0081511,           0.0081511
                  18,            0.060995,            0.057617,                   0,             0.42663,             0.65565,             0.45601,             0.15066,            0.067715,             0.17754,                   0,            0.014562,           0.0085625,           0.0085625
                  19,            0.060564,            0.063735,                   0,             0.28025,             0.65657,              0.3346,             0.13373,            0.071904,             0.15479,                   0,           0.0099689,           0.0089689,           0.0089689
                  20,            0.058709,            0.058333,                   0,              0.3954,             0.56427,             0.40914,              0.1327,            0.069499,             0.12658,                   0,             0.00901,             0.00901,             0.00901
                  21,             0.05559,            0.054168,                   0,             0.57498,             0.63364,             0.60236,             0.27746,            0.060198,             0.12401,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.052496,            0.056897,                   0,             0.24491,              0.6322,             0.28064,            0.097462,            0.071046,             0.14437,                   0,             0.00901,             0.00901,             0.00901
                  23,              0.0539,            0.054904,                   0,             0.64909,             0.72505,             0.70402,             0.30353,            0.057756,             0.11823,                   0,             0.00901,             0.00901,             0.00901
                  24,            0.049537,            0.056939,                   0,             0.57359,             0.77114,              0.6874,             0.33034,             0.05493,             0.11175,                   0,             0.00901,             0.00901,             0.00901
                  25,            0.048441,            0.051376,                   0,             0.58001,             0.67839,             0.61369,             0.25757,             0.06257,             0.11385,                   0,             0.00901,             0.00901,             0.00901
                  26,            0.049717,            0.056061,                   0,             0.47963,             0.74485,             0.54361,              0.2308,            0.060793,             0.11625,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.048779,            0.057609,                   0,             0.78022,             0.80991,             0.84211,             0.40389,            0.049662,             0.11374,                   0,             0.00901,             0.00901,             0.00901
                  28,            0.046801,            0.054892,                   0,             0.60579,             0.77399,             0.69098,             0.32073,            0.052423,              0.1051,                   0,             0.00901,             0.00901,             0.00901
                  29,            0.048645,             0.05449,                   0,             0.62747,             0.74378,             0.70996,             0.39464,            0.055819,             0.10332,                   0,             0.00901,             0.00901,             0.00901
                  30,            0.045861,            0.054326,                   0,             0.79224,             0.78003,             0.83406,             0.42739,             0.05414,             0.11607,                   0,             0.00901,             0.00901,             0.00901
                  31,            0.046602,            0.052844,                   0,             0.74089,             0.84441,             0.83259,              0.4076,            0.050371,             0.11111,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.045316,            0.054631,                   0,             0.85463,             0.87029,             0.90198,             0.47822,            0.048986,             0.10362,                   0,             0.00901,             0.00901,             0.00901
                  33,             0.04168,            0.047042,                   0,             0.77399,              0.7898,             0.82067,             0.44387,            0.050932,             0.10652,                   0,             0.00901,             0.00901,             0.00901
                  34,            0.045426,            0.052896,                   0,              0.8358,             0.85377,             0.88352,             0.49198,            0.047681,              0.1006,                   0,             0.00901,             0.00901,             0.00901
                  35,            0.045902,            0.055493,                   0,             0.82388,             0.88273,             0.87819,             0.52457,            0.044304,             0.10351,                   0,             0.00901,             0.00901,             0.00901
                  36,            0.039457,            0.050679,                   0,             0.89854,              0.8875,             0.92715,             0.55066,            0.044116,             0.10753,                   0,             0.00901,             0.00901,             0.00901
                  37,            0.041257,            0.051007,                   0,             0.80235,             0.83085,              0.8458,             0.48863,            0.045419,             0.10097,                   0,             0.00901,             0.00901,             0.00901
