               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.22976,            0.040417,                   0,           0.0071088,            0.074271,           0.0043566,           0.0010864,             0.20398,            0.061237,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.17185,            0.054059,                   0,            0.018197,             0.19012,            0.013608,           0.0030538,             0.14703,             0.11774,                   0,            0.082891,           0.0018906,           0.0018906
                   2,             0.11982,            0.078125,                   0,            0.087898,             0.29424,            0.050104,            0.012605,             0.12317,             0.14611,                   0,            0.073871,           0.0028713,           0.0028713
                   3,            0.098242,            0.085996,                   0,             0.16857,             0.24947,             0.10541,            0.025899,             0.11454,             0.25508,                   0,            0.064842,           0.0038421,           0.0038421
                   4,            0.091613,            0.074107,                   0,             0.23362,             0.33227,              0.1866,            0.054936,             0.11815,              0.1611,                   0,            0.055803,            0.004803,            0.004803
                   5,            0.089801,             0.06497,                   0,             0.34095,             0.43106,             0.30891,            0.091754,             0.10345,              0.1247,                   0,            0.046754,            0.005754,            0.005754
                   6,            0.085113,            0.071627,                   0,             0.42102,              0.5032,             0.41401,             0.15705,            0.097891,             0.12871,                   0,            0.037695,           0.0066951,           0.0066951
                   7,            0.086052,            0.061987,                   0,             0.40064,             0.50249,             0.39001,             0.12488,            0.099238,             0.11721,                   0,            0.028626,           0.0076263,           0.0076263
                   8,            0.087282,            0.060898,                   0,             0.41646,             0.65387,              0.4827,             0.17634,            0.091715,             0.12526,                   0,            0.019548,           0.0085476,           0.0085476
                   9,            0.086452,             0.06093,                   0,             0.34421,             0.57321,             0.35396,             0.12963,            0.091713,             0.12226,                   0,            0.010459,            0.009459,            0.009459
                  10,            0.082005,            0.066852,                   0,             0.37078,             0.53412,             0.35365,              0.1149,            0.097979,             0.12109,                   0,            0.009505,            0.009505,            0.009505
                  11,            0.078644,            0.060113,                   0,             0.33139,             0.57392,              0.3393,              0.1112,            0.088225,             0.15867,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.072452,            0.059489,                   0,             0.53137,             0.71079,               0.613,             0.21654,            0.081954,             0.14265,                   0,            0.009505,            0.009505,            0.009505
                  13,            0.068901,            0.057107,                   0,             0.56616,             0.73596,             0.67011,             0.25889,            0.076332,             0.14109,                   0,            0.009505,            0.009505,            0.009505
                  14,            0.067005,            0.063326,                   0,             0.54287,             0.77906,             0.67668,             0.33217,            0.066057,             0.14002,                   0,            0.009505,            0.009505,            0.009505
                  15,            0.065953,            0.062592,                   0,             0.74998,             0.84107,              0.8364,             0.39477,            0.058269,             0.13797,                   0,            0.009505,            0.009505,            0.009505
                  16,            0.062434,            0.061301,                   0,              0.6476,             0.81632,             0.71804,             0.32635,            0.061508,              0.1207,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.059663,            0.055643,                   0,             0.70054,             0.78477,              0.7767,             0.38122,            0.064442,             0.12564,                   0,            0.009505,            0.009505,            0.009505
                  18,             0.05817,            0.058315,                   0,             0.71935,             0.81248,             0.83562,             0.47702,            0.058109,             0.12299,                   0,            0.009505,            0.009505,            0.009505
                  19,             0.05689,             0.05513,                   0,             0.63778,             0.80152,             0.71297,             0.32759,            0.059977,              0.1189,                   0,            0.009505,            0.009505,            0.009505
                  20,            0.057094,            0.058107,                   0,             0.74496,             0.73205,             0.76902,             0.25906,            0.076747,              0.1238,                   0,            0.009505,            0.009505,            0.009505
                  21,            0.056456,            0.050591,                   0,             0.85389,             0.84471,             0.90169,             0.44529,            0.057895,             0.11656,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.053142,            0.057514,                   0,             0.79848,             0.85963,             0.87373,             0.40888,            0.056324,             0.12903,                   0,            0.009505,            0.009505,            0.009505
