               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.22479,            0.042993,                   0,           0.0024167,            0.010306,           0.0013302,          0.00037771,             0.19838,            0.073758,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.16643,            0.055269,                   0,            0.020748,             0.21677,             0.01619,           0.0037716,             0.14514,              0.1128,                   0,            0.082891,           0.0018906,           0.0018906
                   2,             0.12037,            0.077555,                   0,             0.12717,             0.31521,            0.083364,            0.018815,             0.11373,             0.16327,                   0,            0.073871,           0.0028713,           0.0028713
                   3,            0.099304,            0.085831,                   0,             0.15633,             0.36354,             0.13013,            0.029498,              0.1153,             0.14648,                   0,            0.064842,           0.0038421,           0.0038421
                   4,             0.09237,            0.072977,                   0,             0.37437,             0.52097,              0.3849,             0.12188,             0.11482,             0.17422,                   0,            0.055803,            0.004803,            0.004803
                   5,            0.090849,            0.063516,                   0,             0.41309,             0.57078,             0.41929,              0.1245,            0.090615,             0.14164,                   0,            0.046754,            0.005754,            0.005754
                   6,            0.086334,            0.070207,                   0,             0.37139,             0.54087,             0.38507,             0.12601,             0.11789,             0.12894,                   0,            0.037695,           0.0066951,           0.0066951
                   7,            0.088879,            0.059735,                   0,             0.46618,             0.53092,             0.44892,             0.11808,            0.096473,             0.11946,                   0,            0.028626,           0.0076263,           0.0076263
                   8,            0.087309,            0.059451,                   0,             0.30707,             0.50569,             0.37722,             0.14261,             0.10006,             0.12579,                   0,            0.019548,           0.0085476,           0.0085476
                   9,            0.087492,              0.0599,                   0,             0.43039,             0.55864,             0.42849,             0.13152,            0.090501,              0.1217,                   0,            0.010459,            0.009459,            0.009459
                  10,            0.082944,            0.067073,                   0,             0.41927,             0.58884,             0.51565,             0.23223,             0.10525,             0.14906,                   0,            0.009505,            0.009505,            0.009505
                  11,            0.080865,            0.059029,                   0,             0.41748,             0.64748,             0.41347,             0.11952,            0.092498,             0.12636,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.072335,            0.057631,                   0,              0.4156,              0.6027,             0.48671,              0.1846,            0.083133,             0.12655,                   0,            0.009505,            0.009505,            0.009505
                  13,            0.068765,            0.055632,                   0,             0.67943,             0.66631,              0.6761,             0.19904,            0.088947,             0.13458,                   0,            0.009505,            0.009505,            0.009505
                  14,            0.068476,             0.06124,                   0,             0.62047,             0.72317,             0.68385,             0.26286,            0.072755,             0.12805,                   0,            0.009505,            0.009505,            0.009505
                  15,            0.065057,            0.061388,                   0,             0.53713,             0.72246,             0.62289,             0.25268,            0.069627,             0.13023,                   0,            0.009505,            0.009505,            0.009505
                  16,            0.063149,            0.060537,                   0,             0.58034,             0.78216,             0.65292,              0.3275,             0.06137,             0.13029,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.061488,            0.053953,                   0,             0.51526,             0.70824,             0.59186,             0.24046,            0.073151,             0.13194,                   0,            0.009505,            0.009505,            0.009505
                  18,            0.059697,            0.058223,                   0,             0.82869,             0.86124,              0.8785,             0.34372,            0.063916,              0.1224,                   0,            0.009505,            0.009505,            0.009505
                  19,            0.058859,            0.053915,                   0,             0.80866,             0.86661,             0.87611,             0.44482,            0.061153,             0.11799,                   0,            0.009505,            0.009505,            0.009505
                  20,            0.057694,            0.056796,                   0,              0.8387,             0.85856,               0.875,             0.33581,            0.065716,             0.12147,                   0,            0.009505,            0.009505,            0.009505
                  21,            0.055684,            0.049841,                   0,             0.75441,             0.84968,             0.83125,             0.50519,            0.054972,             0.11439,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.055167,            0.056541,                   0,              0.9047,             0.91757,             0.94401,             0.56977,            0.052246,             0.11166,                   0,            0.009505,            0.009505,            0.009505
                  23,            0.050848,            0.048016,                   0,              0.9058,               0.914,              0.9381,             0.47458,            0.055765,             0.11426,                   0,            0.009505,            0.009505,            0.009505
                  24,            0.051314,            0.054416,                   0,             0.80258,             0.89135,             0.87392,             0.51313,            0.050623,             0.12023,                   0,            0.009505,            0.009505,            0.009505
                  25,            0.051766,            0.052258,                   0,             0.83431,             0.85892,             0.88195,             0.50819,             0.05248,             0.12255,                   0,            0.009505,            0.009505,            0.009505
                  26,            0.049715,            0.052944,                   0,             0.79667,             0.87242,             0.87666,               0.471,            0.058583,             0.12875,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.048648,            0.050573,                   0,             0.88002,             0.89663,             0.92799,             0.59286,            0.048623,             0.12514,                   0,            0.009505,            0.009505,            0.009505
                  28,            0.049741,            0.057559,                   0,             0.92764,              0.9037,             0.94956,             0.59061,            0.049423,             0.11211,                   0,            0.009505,            0.009505,            0.009505
                  29,            0.047316,            0.052065,                   0,             0.91518,             0.92023,             0.95229,             0.62745,            0.045997,              0.1149,                   0,            0.009505,            0.009505,            0.009505
                  30,            0.050136,            0.051404,                   0,             0.92074,              0.9037,             0.95175,              0.5579,            0.050095,             0.10728,                   0,            0.009505,            0.009505,            0.009505
                  31,            0.048146,             0.05143,                   0,              0.9175,             0.92878,             0.95874,             0.54678,            0.047115,             0.10901,                   0,            0.009505,            0.009505,            0.009505
                  32,             0.04444,            0.049849,                   0,              0.8899,             0.92608,             0.93686,             0.58046,            0.046915,             0.11747,                   0,            0.009505,            0.009505,            0.009505
                  33,            0.046929,            0.047861,                   0,             0.87385,             0.87389,             0.92254,             0.58876,             0.05059,              0.1096,                   0,            0.009505,            0.009505,            0.009505
                  34,            0.046655,             0.05375,                   0,             0.89837,             0.90155,             0.93887,             0.63093,            0.045786,             0.11064,                   0,            0.009505,            0.009505,            0.009505
                  35,            0.044434,            0.052224,                   0,             0.91049,             0.91862,             0.95163,             0.63338,            0.046031,             0.11179,                   0,            0.009505,            0.009505,            0.009505
                  36,             0.04552,            0.047617,                   0,             0.91725,             0.91969,             0.95245,             0.62732,            0.044896,             0.10723,                   0,            0.009505,            0.009505,            0.009505
                  37,            0.044413,            0.051886,                   0,             0.89871,              0.9207,             0.94903,             0.62575,            0.046431,             0.11498,                   0,            0.009505,            0.009505,            0.009505
                  38,             0.04384,            0.049385,                   0,             0.89602,             0.87579,             0.92535,             0.60265,              0.0484,             0.11392,                   0,            0.009505,            0.009505,            0.009505
