               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12745,            0.068154,                   0,           0.0085374,            0.089197,            0.005469,           0.0011827,             0.12388,             0.13206,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.11515,            0.080142,                   0,            0.047737,             0.13149,            0.018634,           0.0040913,             0.10986,              0.1533,                   0,            0.082891,           0.0018906,           0.0018906
                   2,            0.093622,            0.087171,                   0,             0.13389,             0.31166,            0.097522,            0.024006,            0.089692,             0.20797,                   0,            0.073871,           0.0028713,           0.0028713
                   3,            0.081682,            0.085485,                   0,             0.17378,              0.3145,             0.15914,            0.041683,            0.090026,             0.24338,                   0,            0.064842,           0.0038421,           0.0038421
                   4,            0.075773,            0.074696,                   0,              0.2229,             0.47264,             0.20972,            0.052476,            0.084273,             0.19362,                   0,            0.055803,            0.004803,            0.004803
                   5,            0.072833,            0.067229,                   0,             0.19313,             0.45736,             0.19056,            0.049707,            0.088551,             0.14401,                   0,            0.046754,            0.005754,            0.005754
                   6,            0.071104,              0.0721,                   0,             0.32348,             0.49218,             0.29776,            0.085871,             0.07926,             0.15149,                   0,            0.037695,           0.0066951,           0.0066951
                   7,             0.07288,            0.062785,                   0,             0.36136,             0.52132,             0.35698,             0.13203,            0.076307,             0.12948,                   0,            0.028626,           0.0076263,           0.0076263
                   8,            0.070227,            0.061344,                   0,             0.37429,             0.60768,             0.41079,             0.14893,            0.067736,             0.13867,                   0,            0.019548,           0.0085476,           0.0085476
                   9,             0.06915,            0.064239,                   0,             0.32498,             0.53174,             0.34474,             0.10383,            0.075802,             0.13271,                   0,            0.010459,            0.009459,            0.009459
                  10,            0.067187,            0.067589,                   0,             0.46694,             0.59797,             0.50615,             0.21618,            0.069257,             0.13483,                   0,            0.009505,            0.009505,            0.009505
                  11,            0.065027,            0.061149,                   0,             0.44149,             0.59879,             0.46881,              0.1639,            0.069734,             0.13827,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.05939,            0.058962,                   0,             0.57862,             0.69439,             0.65072,             0.30116,            0.060587,             0.12221,                   0,            0.009505,            0.009505,            0.009505
                  13,            0.056439,            0.056546,                   0,             0.45446,             0.72104,             0.55789,             0.18922,            0.064616,             0.13735,                   0,            0.009505,            0.009505,            0.009505
                  14,            0.055717,            0.063726,                   0,             0.51039,             0.71962,              0.5945,             0.20024,            0.060807,             0.13754,                   0,            0.009505,            0.009505,            0.009505
                  15,            0.054118,            0.063607,                   0,             0.86138,             0.87278,             0.90274,             0.47728,            0.049168,             0.12151,                   0,            0.009505,            0.009505,            0.009505
                  16,             0.05365,             0.06163,                   0,              0.7279,             0.80616,             0.79495,             0.33968,            0.054369,             0.11856,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.051889,            0.054677,                   0,             0.78277,             0.78749,             0.83101,             0.35756,            0.056718,             0.12483,                   0,            0.009505,            0.009505,            0.009505
                  18,            0.049194,            0.058367,                   0,             0.71361,              0.8651,             0.77527,             0.34849,            0.051134,              0.1221,                   0,            0.009505,            0.009505,            0.009505
                  19,            0.049019,            0.055551,                   0,             0.72587,             0.86709,              0.8097,             0.43862,            0.051033,             0.11796,                   0,            0.009505,            0.009505,            0.009505
                  20,            0.048859,            0.057874,                   0,             0.79363,             0.81095,             0.84106,             0.31935,            0.057068,             0.12248,                   0,            0.009505,            0.009505,            0.009505
                  21,            0.047129,            0.051306,                   0,             0.86139,              0.8742,             0.91137,             0.44088,            0.051606,             0.12027,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.046058,            0.057636,                   0,             0.87994,             0.87252,              0.9164,             0.56354,             0.04537,             0.11491,                   0,            0.009505,            0.009505,            0.009505
                  23,            0.043493,            0.048765,                   0,             0.85791,             0.86638,             0.89918,             0.46713,             0.04933,             0.11904,                   0,            0.009505,            0.009505,            0.009505
                  24,            0.044476,            0.055127,                   0,              0.8678,               0.914,             0.90758,             0.55786,            0.043211,             0.12008,                   0,            0.009505,            0.009505,            0.009505
                  25,            0.043369,            0.053291,                   0,              0.8727,             0.88735,             0.92429,             0.57752,            0.042817,             0.12954,                   0,            0.009505,            0.009505,            0.009505
                  26,            0.042119,            0.054192,                   0,             0.85239,             0.88451,             0.91471,             0.53266,            0.046404,             0.13392,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.041644,             0.05104,                   0,             0.84446,             0.89519,             0.89351,             0.46363,            0.047206,             0.12484,                   0,            0.009505,            0.009505,            0.009505
                  28,            0.043515,            0.057255,                   0,             0.88491,             0.89303,             0.92837,             0.57738,            0.043228,             0.11557,                   0,            0.009505,            0.009505,            0.009505
                  29,            0.041049,            0.053459,                   0,             0.89425,             0.89837,             0.93038,             0.51011,            0.045019,             0.11825,                   0,            0.009505,            0.009505,            0.009505
                  30,            0.043794,            0.052727,                   0,             0.92098,             0.92253,             0.95742,             0.60727,            0.041973,             0.10709,                   0,            0.009505,            0.009505,            0.009505
                  31,            0.041747,            0.052376,                   0,             0.90341,              0.8908,             0.93017,             0.55644,            0.042512,             0.10972,                   0,            0.009505,            0.009505,            0.009505
                  32,             0.04082,            0.049906,                   0,             0.89847,             0.92111,             0.94317,             0.51277,            0.046455,             0.11595,                   0,            0.009505,            0.009505,            0.009505
                  33,            0.042056,            0.048405,                   0,             0.90133,             0.89597,             0.92797,             0.59147,            0.042843,             0.11056,                   0,            0.009505,            0.009505,            0.009505
                  34,            0.043314,            0.054308,                   0,             0.90309,             0.89417,             0.92716,             0.59206,            0.044863,             0.11118,                   0,            0.009505,            0.009505,            0.009505
                  35,            0.042243,            0.051861,                   0,             0.89988,              0.9103,             0.93304,             0.59108,              0.0429,             0.11552,                   0,            0.009505,            0.009505,            0.009505
                  36,            0.039649,              0.0479,                   0,             0.92409,             0.91436,              0.9484,             0.57122,            0.044246,             0.11029,                   0,            0.009505,            0.009505,            0.009505
                  37,             0.04073,            0.052601,                   0,             0.85357,             0.91149,             0.90974,               0.592,            0.043806,             0.11254,                   0,            0.009505,            0.009505,            0.009505
                  38,             0.03914,            0.049945,                   0,             0.90569,             0.89232,             0.92312,             0.57519,            0.044802,             0.11311,                   0,            0.009505,            0.009505,            0.009505
                  39,            0.039792,            0.049297,                   0,             0.91863,             0.91467,             0.94513,             0.56638,            0.043321,             0.10966,                   0,            0.009505,            0.009505,            0.009505
                  40,            0.038377,             0.04994,                   0,             0.91473,             0.91498,             0.94697,             0.66059,            0.038829,              0.1135,                   0,            0.009505,            0.009505,            0.009505
                  41,            0.037481,            0.051408,                   0,             0.89943,             0.90014,             0.93494,             0.63013,            0.040031,             0.11104,                   0,            0.009505,            0.009505,            0.009505
                  42,            0.037761,            0.048721,                   0,             0.90178,             0.91679,             0.93316,              0.5934,            0.040866,             0.11128,                   0,            0.009505,            0.009505,            0.009505
                  43,             0.03821,            0.050278,                   0,             0.91387,             0.91116,             0.93739,             0.58423,            0.043801,             0.11451,                   0,            0.009505,            0.009505,            0.009505
